created_at,entry_id,field1
2024-11-25 00:00:55 UTC,231,22.11C
2024-11-25 00:05:55 UTC,232,22.13C
2024-11-25 00:10:55 UTC,233,22.05C
2024-11-25 00:15:55 UTC,234,22.00C
2024-11-25 00:20:55 UTC,235,21.97C
2024-11-25 00:25:55 UTC,236,21.92C
2024-11-25 00:30:55 UTC,237,21.87C
2024-11-25 00:35:55 UTC,238,21.85C
2024-11-25 00:40:55 UTC,239,21.84C
2024-11-25 00:45:55 UTC,240,21.79C
2024-11-25 00:50:55 UTC,241,21.77C
2024-11-25 00:55:55 UTC,242,21.77C
2024-11-25 01:00:55 UTC,243,21.73C
2024-11-25 01:05:55 UTC,244,21.76C
2024-11-25 01:10:55 UTC,245,21.87C
2024-11-25 01:15:55 UTC,246,21.94C
2024-11-25 01:20:55 UTC,247,22.02C
2024-11-25 01:25:55 UTC,248,22.07C
2024-11-25 01:30:55 UTC,249,22.09C
2024-11-25 01:35:56 UTC,250,22.16C
2024-11-25 01:40:56 UTC,251,22.17C
2024-11-25 01:45:56 UTC,252,22.17C
2024-11-25 01:50:56 UTC,253,22.18C
2024-11-25 01:55:56 UTC,254,22.09C
2024-11-25 01:58:58 UTC,255,22.64C
2024-11-25 02:03:58 UTC,256,22.57C
2024-11-25 02:08:58 UTC,257,22.79C
2024-11-25 02:13:58 UTC,258,22.97C
2024-11-25 02:46:53 UTC,259,23.44C
2024-11-25 02:47:33 UTC,260,23.73C
2024-11-25 02:52:33 UTC,261,24.03C
2024-11-25 02:57:33 UTC,262,24.73C
2024-11-25 03:02:33 UTC,263,24.90C
2024-11-25 03:07:34 UTC,264,24.93C
2024-11-25 03:12:33 UTC,265,24.92C
2024-11-25 03:17:33 UTC,266,24.87C
2024-11-25 03:22:33 UTC,267,24.84C
2024-11-25 03:27:33 UTC,268,24.74C
2024-11-25 03:32:34 UTC,269,24.72C
2024-11-25 03:37:34 UTC,270,24.66C
2024-11-25 03:42:34 UTC,271,24.63C
2024-11-25 03:47:34 UTC,272,24.56C
2024-11-25 03:52:34 UTC,273,24.53C
2024-11-25 03:57:34 UTC,274,24.50C
2024-11-25 04:02:34 UTC,275,24.48C
2024-11-25 04:07:34 UTC,276,24.47C
2024-11-25 04:12:34 UTC,277,24.41C
2024-11-25 04:17:34 UTC,278,24.37C
2024-11-25 04:22:34 UTC,279,24.34C
2024-11-25 04:27:34 UTC,280,24.42C
2024-11-25 04:32:34 UTC,281,24.40C
2024-11-25 04:37:36 UTC,282,24.37C
2024-11-25 04:42:34 UTC,283,24.39C
2024-11-25 04:47:34 UTC,284,24.41C
2024-11-25 04:52:39 UTC,285,24.36C
2024-11-25 04:57:34 UTC,286,24.34C
2024-11-25 05:02:34 UTC,287,24.31C
2024-11-25 05:07:35 UTC,288,24.30C
2024-11-25 05:12:35 UTC,289,24.26C
2024-11-25 05:17:35 UTC,290,24.08C
2024-11-25 05:22:35 UTC,291,23.73C
2024-11-25 05:27:35 UTC,292,23.58C
2024-11-25 05:32:35 UTC,293,23.49C
2024-11-25 05:37:35 UTC,294,23.46C
2024-11-25 05:42:35 UTC,295,23.53C
2024-11-25 05:47:35 UTC,296,23.53C
2024-11-25 05:52:35 UTC,297,23.52C
2024-11-25 05:57:35 UTC,298,23.54C
2024-11-25 06:02:35 UTC,299,23.55C
2024-11-25 06:07:35 UTC,300,23.42C
2024-11-25 06:12:35 UTC,301,23.68C
2024-11-25 06:17:35 UTC,302,23.23C
2024-11-25 06:22:35 UTC,303,22.88C
2024-11-25 06:27:35 UTC,304,22.69C
2024-11-25 06:32:36 UTC,305,22.54C
2024-11-25 06:37:35 UTC,306,22.47C
2024-11-25 06:42:36 UTC,307,22.37C
2024-11-25 06:47:36 UTC,308,22.33C
2024-11-25 06:52:36 UTC,309,22.28C
2024-11-25 06:57:36 UTC,310,22.23C
2024-11-25 07:02:36 UTC,311,22.20C
2024-11-25 07:07:36 UTC,312,22.14C
2024-11-25 07:12:36 UTC,313,22.11C
2024-11-25 07:17:36 UTC,314,22.07C
2024-11-25 07:22:36 UTC,315,22.01C
2024-11-25 07:27:36 UTC,316,21.97C
2024-11-25 07:28:37 UTC,317,22.70C
2024-11-25 07:33:37 UTC,318,21.95C
2024-11-25 07:38:37 UTC,319,21.90C
2024-11-25 07:43:37 UTC,320,21.83C
2024-11-25 07:48:37 UTC,321,21.77C
2024-11-25 07:53:37 UTC,322,21.70C
2024-11-25 07:58:37 UTC,323,21.64C
2024-11-25 08:03:37 UTC,324,21.60C
2024-11-25 08:08:37 UTC,325,21.56C
2024-11-25 08:13:37 UTC,326,21.44C
2024-11-25 08:18:38 UTC,327,21.40C
2024-11-25 08:23:38 UTC,328,21.35C
2024-11-25 08:28:38 UTC,329,21.32C
2024-11-25 08:33:38 UTC,330,21.29C
2024-11-25 08:38:38 UTC,331,21.25C
2024-11-25 08:43:38 UTC,332,21.23C
2024-11-25 08:48:38 UTC,333,21.20C
2024-11-25 08:53:38 UTC,334,21.16C
2024-11-25 08:58:38 UTC,335,21.14C
2024-11-25 09:03:38 UTC,336,21.10C
2024-11-25 09:08:38 UTC,337,21.07C
2024-11-25 09:13:38 UTC,338,20.99C
2024-11-25 09:18:38 UTC,339,20.99C
2024-11-25 09:23:38 UTC,340,20.95C
2024-11-25 09:28:38 UTC,341,20.92C
2024-11-25 09:33:38 UTC,342,20.90C
2024-11-25 09:38:38 UTC,343,20.87C
2024-11-25 09:43:38 UTC,344,20.83C
2024-11-25 09:48:38 UTC,345,20.79C
2024-11-25 09:53:38 UTC,346,20.77C
2024-11-25 09:58:39 UTC,347,20.73C
2024-11-25 10:03:39 UTC,348,20.70C
2024-11-25 10:08:39 UTC,349,20.66C
2024-11-25 10:13:39 UTC,350,20.67C
2024-11-25 10:18:39 UTC,351,20.64C
2024-11-25 10:23:39 UTC,352,20.59C
2024-11-25 10:28:39 UTC,353,20.55C
2024-11-25 10:33:39 UTC,354,20.48C
2024-11-25 10:38:39 UTC,355,20.47C
2024-11-25 10:43:39 UTC,356,20.43C
2024-11-25 10:48:39 UTC,357,20.37C
2024-11-25 10:53:39 UTC,358,20.37C
2024-11-25 10:58:39 UTC,359,20.33C
2024-11-25 11:03:39 UTC,360,20.27C
2024-11-25 11:08:39 UTC,361,20.21C
2024-11-25 11:13:39 UTC,362,20.16C
2024-11-25 11:18:39 UTC,363,20.13C
2024-11-25 11:23:39 UTC,364,20.14C
2024-11-25 11:28:39 UTC,365,20.08C
2024-11-25 11:33:40 UTC,366,20.04C
2024-11-25 11:38:40 UTC,367,20.00C
2024-11-25 11:43:40 UTC,368,19.94C
2024-11-25 11:48:40 UTC,369,19.91C
2024-11-25 11:53:40 UTC,370,19.93C
2024-11-25 11:58:40 UTC,371,19.87C
2024-11-25 12:03:40 UTC,372,19.84C
2024-11-25 12:08:40 UTC,373,19.81C
2024-11-25 12:13:40 UTC,374,19.75C
2024-11-25 12:18:40 UTC,375,19.76C
2024-11-25 12:23:40 UTC,376,19.74C
2024-11-25 12:28:40 UTC,377,19.75C
2024-11-25 12:33:40 UTC,378,19.73C
2024-11-25 12:38:40 UTC,379,19.66C
2024-11-25 12:43:40 UTC,380,19.69C
2024-11-25 12:48:40 UTC,381,19.68C
2024-11-25 12:53:40 UTC,382,19.74C
2024-11-25 12:58:41 UTC,383,19.76C
2024-11-25 13:03:41 UTC,384,19.79C
2024-11-25 13:08:41 UTC,385,19.83C
2024-11-25 13:13:41 UTC,386,19.86C
2024-11-25 13:18:41 UTC,387,19.91C
2024-11-25 13:23:41 UTC,388,20.01C
2024-11-25 13:28:41 UTC,389,20.02C
2024-11-25 13:33:41 UTC,390,20.15C
2024-11-25 13:38:41 UTC,391,20.22C
2024-11-25 13:43:41 UTC,392,20.33C
2024-11-25 13:48:41 UTC,393,20.13C
2024-11-25 13:53:41 UTC,394,20.19C
2024-11-25 13:58:41 UTC,395,20.20C
2024-11-25 14:03:41 UTC,396,20.20C
